%domestic ips
%100.100.100.100 2.80.20.6
%100.100.100.100 2.80.20.6
%100.100.100.100 2.80.20.7
%100.100.100.100 2.80.20.8
%100.100.100.100 2.80.20.9
%100.100.100.100 2.80.20.10
%Not found
100.100.100.100 8.1.10.1
%RNL
100.100.100.100 193.136.164.129
100.100.100.100 193.136.164.129
100.100.100.100 193.136.164.129
%
%100.100.100.101 2.80.20.6
%100.100.100.101 2.80.20.6
%100.100.100.101 2.80.20.7
%100.100.100.101 2.80.20.8
%100.100.100.101 2.80.20.9
%100.100.100.101 2.80.20.10
%100.100.100.101 8.1.10.1
%100.100.100.101 193.136.164.129
%100.100.100.101 193.136.164.129
%100.100.100.101 193.136.164.129
%
